Elo	Username	W	L	T	Last update
1197.3086069823246	D2 & P2 ♥	7	0	0	Sun Jul 24 2016 17:07:41 GMT-0400 (Eastern Daylight Time)
1084.921200236989	Gyarados422	2	0	0	Mon Jul 18 2016 13:15:54 GMT-0400 (Eastern Daylight Time)
1084.6597416028699	A Quag To The Past	3	3	0	Sun Jul 24 2016 17:07:41 GMT-0400 (Eastern Daylight Time)
1049.894442737981	Gidget(F~Glaceon)	1	0	0	Tue Jul 12 2016 13:26:45 GMT-0400 (Eastern Daylight Time)
1049.4251450570343	SimpleMudkip	1	1	0	Mon Jul 18 2016 20:32:45 GMT-0400 (Eastern Daylight Time)
1045	danielhuy101	1	0	0	Thu Jul 28 2016 23:24:04 GMT-0400 (Eastern Daylight Time)
1045	ripleybattle	1	0	0	Fri Jul 22 2016 13:35:08 GMT-0400 (Eastern Daylight Time)
1045	DarknerRocket R	1	0	0	Thu Jul 21 2016 15:34:56 GMT-0400 (Eastern Daylight Time)
1045	Wastuto	1	0	0	Thu Jul 21 2016 15:18:13 GMT-0400 (Eastern Daylight Time)
1045	Chipardo	1	0	0	Thu Jul 21 2016 14:51:54 GMT-0400 (Eastern Daylight Time)
1045	gszheshhe	1	0	0	Fri Jul 08 2016 15:34:06 GMT-0400 (Eastern Daylight Time)
1035.5	liam9	1	1	0	Fri Jul 08 2016 12:33:30 GMT-0400 (Eastern Daylight Time)
1028.1886711202874	Dr X Flygon	1	3	0	Tue Jul 12 2016 13:26:45 GMT-0400 (Eastern Daylight Time)
1000	TheMountMaster	0	1	0	Thu Jul 28 2016 23:24:04 GMT-0400 (Eastern Daylight Time)
1000	OPSweeperMan	0	1	0	Sun Jul 24 2016 16:55:02 GMT-0400 (Eastern Daylight Time)
1000	Gostachu (Mimkiu)	0	1	0	Fri Jul 22 2016 13:35:08 GMT-0400 (Eastern Daylight Time)
1000	rhobson	0	1	0	Thu Jul 21 2016 15:34:56 GMT-0400 (Eastern Daylight Time)
1000	MelloetaPokemon	0	1	0	Thu Jul 21 2016 15:18:13 GMT-0400 (Eastern Daylight Time)
1000	lucas soyuza	0	1	0	Thu Jul 21 2016 14:51:54 GMT-0400 (Eastern Daylight Time)
1000	Mecha33	0	1	0	Mon Jul 18 2016 22:56:29 GMT-0400 (Eastern Daylight Time)
1000	Rukt Is Back	0	1	0	Mon Jul 18 2016 13:15:54 GMT-0400 (Eastern Daylight Time)
1000	vaq	0	2	0	Fri Jul 08 2016 15:39:52 GMT-0400 (Eastern Daylight Time)
1000	zellman01	0	1	0	Fri Jul 08 2016 17:12:50 GMT-0400 (Eastern Daylight Time)
1000	gispgh	0	1	0	Fri Jul 08 2016 12:26:31 GMT-0400 (Eastern Daylight Time)
1000	Relaxed Dedenne	0	1	0	Fri Jul 08 2016 10:07:26 GMT-0400 (Eastern Daylight Time)
